Entity,EIN,TX Taxpayer ID,Right to Transact TX,SOS Registration,SOS File No,Effective Date,State of Formation,Registered Agent,Mailing Address,Notes
OTTO BOCK HEALTHCARE LP,74-3032515,17430325153,ACTIVE,ACTIVE,0800678943,07/10/2006,MN,"CSC-Lawyers Inc Svc, 211 E 7th St Ste 620, Austin TX","11809 Domain Dr Unit 400, Austin TX 78758-3452",LIKELY CONTRACTING ENTITY - matches Ottobock imprint Tax-ID
"OTTO BOCK HEALTHCARE U.S., INC.",41-1638999,14116389991,ACTIVE,ACTIVE,0009364506,12/11/1992,MN,"CSC-Lawyers Inc Svc, Austin TX","11809 Domain Dr Unit 400, Austin TX 78758",Active since 1992
OTTO BOCK HEALTHCARE US MANAGEMENT INC,20-4321801,32059867575,FORFEITED,NOT REGISTERED,,,DE,,"11809 Domain Dr Unit 400, Austin TX 78758",FORFEITED - Tex Tax Code 171.255 officer liability may apply
"OTTO BOCK HEALTHCARE NORTH AMERICA, INC.",41-0824465,32061643618,NOT ESTABLISHED,NOT REGISTERED,,,,,"11809 Domain Dr Unit 400, Austin TX 78758",
OTTO BOCK HEALTHCARE US PARTICIPATION LP,20-4321871,32061643584,NOT ESTABLISHED,NOT REGISTERED,,,,,"11809 Domain Dr Unit 400, Austin TX 78758",
OTTO BOCK HEALTHCARE US INC,,32021210136,,,,,,,ZIP 55447 (Minneapolis MN),
OTTO BOCK ORTHOPEDIC SERVICES LLC,,32040384458,,,,,,,Austin TX 78758,
OTTO BOCK MEDICAL CARE LLC,,32061579507,,,,,,,Austin TX 78758,
OTTO BOCK HEALTHCARE MANUFACTURING U.S.,,32070186666,,,,,,,Austin TX 78758,
"OTTO BOCK PATIENT CARE, LLC",,32073810486,,,,,,,Austin TX 78758,
