Debtor,Open Balance,Legal Entity of Record,Status,Source,Bankruptcy,Confidence,Findings
PET RETAIL BRANDS,170196.03,"PET SUPERMARKET, INC. — FL Doc J09734 | EIN 59-2664699 | filed 04/16/1986",ACTIVE,FL Sunbiz (primary),None as debtor,VERIFIED,"Reg agent Corporation Service Company, 1201 Hays St, Tallahassee FL 32301-2525. Officers: Proctor (CEO), Ly, Hamby, Northcutt. 2026 annual report filed 01/24/2026. Venue Broward County FL."
PLANET MARS INC.,10864.97,California domestic corporation — principal office Corona CA,UNVERIFIED,Secondary only,None found,PARTIAL,CA bizfile API bot-blocked. Active/suspended NOT confirmed. Entity dates to 2008. $5 Certificate of Status would settle FTB suspension.
OTTOBOCK,7908.70,"US registered entity NOT IDENTIFIED — parent Ottobock SE & Co. KGaA (Duderstadt DE, FRA:OBCK)",PARENT ACTIVE,Apollo + public listing,None as debtor,PARTIAL,"No TX Comptroller record. NA finance in Austin TX. Civil defendant only (Cranial Technologies, C.D. Cal. 2023)."
JAMES CONSTRUCTION INC.,6469.21,Wisconsin entity (Milwaukee area) — WI DFI not retrieved,UNVERIFIED,Not retrieved,None attributable,LOW,36 RECAP hits ALL name collisions with unrelated James Construction entities. Owner John Burkemper.
THE ABECO ORGANIZATION,5077.26,TRADE NAME ONLY — ABECO MANAGEMENT L.L.C. (NY DOS 2868059) / ABECO SERVICES INC (3248777),OPERATING,NY DOS (primary),None,VERIFIED,"6701 Bay Parkway 3rd Fl, Brooklyn NY 11204. 411 DITMAS CORP lists service name as THE ABECO ORGANIZATION. Property-LLC portfolio attached."
MELROSE CORPORATION,4380.00,California — registry not retrieved,UNVERIFIED,Not retrieved,None attributable,LOW,CA bizfile bot-blocked. Docket hits unrelated Melrose companies FL/NY/OH.
LIGHTNING ELECTRIC,3684.74,Missouri (Kansas City) — MO SOS not retrieved,OPERATING,Observed activity,None attributable,PARTIAL,Demonstrably trading. All 20 RECAP hits are collisions.
HARPER-ALLEN CONSTRUCTION,3570.03,"HARPER ALLEN CONSTRUCTION, LLC c/o JESSE SHADOAN — Portsmouth OH 45662",LIVE DEFENDANT,Court record,None for the LLC,VERIFIED,"ACTIVE defendant Cass County IN small claims 09D01-2608-SC-000223 filed 08/26/2026. Contradicts 'out of business' claim. Shadoan Ch7 hits are surname collisions, NOT verified."
EMPLOYBRIDGE HOLDING COMPANY,2694.12,"Employbridge — 1040 Crown Pointe Pkwy Ste 1040, Atlanta (Dunwoody) GA 30338",ACTIVE,Apollo + court record,None as debtor,VERIFIED,$2.9B revenue. ~20 employment suits normal. DEFENDANT in Yellow Corp v EmployBridge (Bankr D Del 2025).
"ROBERTSON & OLSON CONSTRUCTION, INC",1525.61,"Washington corporation founded 1995 — 4857 NW Lake Rd Ste 320, Camas WA 98607",OPERATING,Apollo + court record,None — zero dockets,PARTIAL,"ZERO federal dockets — cleanest in book. WA CCFS verification interstitial. $19.45M rev, 55 emp."
"SCI GROUP, LLC",1368.01,Illinois (847) — IL SOS not retrieved,UNVERIFIED,Not retrieved,None as debtor,LOW,Thackray Crane Rental v SCI Group LLC (D.N.J. 2024) UNVERIFIED as our IL entity.
