Debtor,AGYID,Status,Placed,Collected,Balance,Recovery %,DOR,DOA,Total Notes
PET RETAIL BRANDS,SWRS589127,Cancel,170196.03,0.00,170196.03,0.0,05/21/2024,02/04/2026,67
OTTOBOCK,SWRS585803,Client Remove,85850.79,77942.09,7908.70,90.8,11/19/2025,01/21/2026,156
THE ABECO ORGANIZATION,SWRS572068,PAID/SIF,42387.27,37310.01,5077.26,88.0,12/18/2024,12/03/2025,140
VISION GENERAL CONSTRUCTION,SWRS658353,PAID/SIF,26373.84,26373.84,0.00,100.0,10/30/2025,06/04/2026,100
PLANET MARS INC.,SWRS589129,Follow Up,10864.97,0.00,10864.97,0.0,04/08/2024,02/04/2026,64
JAMES CONSTRUCTION INC.,SWRS572067,New Business,6469.21,0.00,6469.21,0.0,10/31/2024,12/03/2025,156
ALRIG USA,SWRS572065,PAID/SIF,5560.49,5560.49,0.00,100.0,05/31/2024,12/03/2025,89
MELROSE CORPORATION,SWRS589128,Cancel,4380.00,0.00,4380.00,0.0,03/05/2025,02/04/2026,62
LIGHTNING ELECTRIC,SWRS658351,New Business,3684.74,0.00,3684.74,0.0,08/14/2025,06/04/2026,143
HARPER-ALLEN CONSTRUCTION,SWRS658348,Cancel,3570.03,0.00,3570.03,0.0,03/28/2025,06/04/2026,10
EMPLOYBRIDGE HOLDING COMPANY,SWRS572066,Active,2694.12,0.00,2694.12,0.0,01/29/2025,12/03/2025,81
JIM WOOD COMPANY INC.,SWRS658352,PAID/SIF,1601.07,1601.01,0.06,100.0,07/24/2025,06/04/2026,61
"ROBERTSON & OLSON CONSTRUCTION, INC",SWRS658350,Cancel,1525.61,0.00,1525.61,0.0,07/10/2025,06/04/2026,14
"SCI GROUP, LLC",SWRS658349,Active,1368.01,0.00,1368.01,0.0,10/10/2024,06/04/2026,84

TOTAL,,,366526.18,148787.44,217738.74,40.59,,,
